Time	time-
Heli-pad	helipad
Turbojet	turbo-jet
Soundtrack	sound-track
Halo-	halo
Construction	construction-
Lifesaving	life-saving
Management	Manage-ment
Realtime	real-time
Freeflying	free-flying
Stands	-stands
County	county-
Reexamine	re-examine
Substructure	sub-structure
Mercedes-Benz	MercedesBenz
Antiarthritis	anti-arthritis
Nono	no-no
G-range	grange
Co-ordinates	coordinates
Apolitical	a-political
Trans-link	Translink
Clearcutting	Clear-cutting
Pro-gress	progress
CableTV	Cable-TV
Infighting	in-fighting
Runoff	run-off
E-mail	email
Comeback	come-back
Mishmash	Mish-mash
French	french-
Nor-	nor
P-24	p24
Selfsupporting	self-supporting
Computer	computer-
Fishtanks	fish-tanks
Roll	roll-
Income	-income
Blanc-mange	blancmange
Anti-climax	anticlimax
Cross-cutting	crosscutting
Doubleheader	double-header
Class-room	Classroom
Poly-	poly
Mega	mega-
Hotline	hot-line
Coffeehouse	coffee-house
Overheating	over-heating
Donga	Dong-a
Reengineering	Re-engineering
Shareholders	share-holders
Floodgates	flood-gates
2by4	2-by-4
Boot-strap	Bootstrap
Knownothing	know-nothing
-ose	ose
Screen-writer	screenwriter
-one	one
Ecosystem	eco-system
Pellmell	pell-mell
Decoupling	De-coupling
Cutdown	cut-down
Consolidation	consolida-tion
Faraway	far-away
Paratransit	para-transit
Warzone	war-zone
Inter-American	InterAmerican
Sea-Land	SeaLand
Hardline	Hard-line
Those	-those
Business	-business
Buy-out	buyout
Footcandles	foot-candles
Hangdog	hang-dog
Voice-over	voiceover
Cross-over	Crossover
Rock-rose	Rockrose
Ex-plosion	Explosion
Peacekeeper	peace-keeper
Star-shaped	starshaped
Dataproducts	data-products
Pol-ka	Polka
Tortoiseshell	tortoise-shell
Relocation	re-location
Lowcaste	low-caste
Fastlane	fast-lane
Open-ended	openended
Market	mar-ket
ITV	I-TV
Over-rules	overrules
Over-ruled	overruled
Lipsynced	lip-synced
Intermediate	intermediate-
Push-pins	pushpins
Counter-revolutionary	Counterrevolutionary
ITE	I-T-E
Flashforwards	flash-forwards
Breakdance	break-dance
Mei-shan	Meishan
Laver-bread	laverbread
Showstoppers	show-stoppers
Sidebar	side-bar
Mini-series	Miniseries
Straitjacket	strait-jacket
Rewind	Re-wind
Psychosocial	psycho-social
Backoffice	back-office
Proforma	Pro-forma
Layout	lay-out
Middleweight	middle-weight
L-O-V-E	LOVE
Cable	-cable
Sedge	s-edge
Thirtysomething	Thirty-something
Stormswept	storm-swept
Newsmagazine	news-magazine
Develop	develop-
P-ano	Pano
Restatement	re-statement
Rewrite	re-write
Nray	N-ray
Para-militaries	paramilitaries
Longdrawn	long-drawn
Peacemaking	peace-making
Layoff	lay-off
Multicolor	multi-color
Mini-computer	Minicomputer
Buyback	buy-back
Payphone	Pay-phone
User	user-
Longheaded	long-headed
Rocketscience	rocket-science
Reproduction	re-production
Midcap	mid-cap
Shoehorn	shoe-horn
Midtown	mid-town
Extraterrestrial	extra-terrestrial
-ware	Ware
Timesaver	time-saver
Overfishing	over-fishing
Fairweather	fair-weather
Over-fished	overfished
RB211	RB-211
Coca-Cola	CocaCola
Over-consumption	overconsumption
Pre-game	pregame
Take-out	takeout
Under-rate	underrate
Pre-arranged	prearranged
Broad-based	broadbased
T-way	Tway
Witch-hunt	witchhunt
Land-locked	landlocked
Wishlist	wish-list
Antidepressant	anti-depressant
Fund-raiser	fundraiser
Which	-which
Nonintervention	non-intervention
Todo	to-do
Subgenre	sub-genre
Administration	ad-ministration
Resend	re-send
Writedown	write-down
Land-side	landside
Wheelspin	Wheel-spin
Heavy	heavy-
Drycleaner	dry-cleaner
Grayhaired	gray-haired
Fill	-fill
Spin-off	spinoff
Ha-Rav	HaRav
Bench-mark	benchmark
Cheesemaker	cheese-maker
Pre-war	Prewar
Childcare	child-care
Horserace	horse-race
Powerboat	power-boat
Bandera	Band-era
Southwest	south-west
Rights	-rights
Cutup	cut-up
Hawk-eye	Hawkeye
Counter-terrorism	counterterrorism
Fortune-telling	fortunetelling
Subcontracting	sub-contracting
T-rays	trays
Knock	knock-
Breakaway	break-away
Worldwide	World-wide
S-train	strain
Frog-march	frogmarch
Faceoff	face-off
Upstate	up-state
100plus	100-plus
Ikhwan	Ik-hwan
Overwater	over-water
M80	M-80
M85	M-85
M79	M-79
Nitpicking	nit-picking
M61	M-61
M60	M-60
M54	M-54
Mortgage	Mortgage-
M48	M-48
Referendum	ref-erendum
Website	Web-site
Toothbrush	tooth-brush
Oddballs	odd-balls
Kowtow	kow-tow
M20	M-20
M19	M-19
M13	M-13
M11	M-11
M12	M-12
M16	M-16
Setback	set-back
Kilo-	Kilo
M30	M-30
Leftfield	left-field
Transnational	trans-national
Upper	upper-
Waterborne	water-borne
Aftereffect	after-effect
Intercontinental	inter-continental
Caregiver	care-giver
Workgroup	work-group
Landuse	land-use
Rejoined	re-joined
Only	-only
Trimotor	tri-motor
Slidingscale	sliding-scale
Selfevidently	self-evidently
Kingmaker	king-maker
Upcoming	up-coming
Dis-organization	disorganization
Gatecrasher	gate-crasher
Alcohol	alcohol-
Faceup	face-up
Longrun	Long-run
Widescreen	wide-screen
T-ray	Tray
Re-marriage	Remarriage
Blue	blue-
Midfield	mid-field
Nightflying	night-flying
Under-estimate	underestimate
Roundup	round-up
Peep-show	peepshow
Hurlyburly	hurly-burly
Overrated	Over-rated
Prehistory	pre-history
Snub-nosed	snubnosed
Pilot-house	pilothouse
Cut-throat	cutthroat
Pro-gress	Progress
Biogas	bio-gas
Doublecross	double-cross
Give	Give-
Multiculturalism	Multi-culturalism
Stormwater	storm-water
Groundbreaking	ground-breaking
Fuzz-balls	fuzzballs
Bullet	bullet-
US-PA	USPA
Deathdream	death-dream
Cramdown	cram-down
Shorter	shorter-
Aftertaste	after-taste
Window-sill	windowsill
Multinational	multi-national
Hooknosed	hook-nosed
Landshark	land-shark
Hezbi-Islami	Hezb-i-Islami
Delisting	de-listing
Video	video-
Double	double-
Lowkey	Low-key
Pre-arranging	prearranging
Brainstem	brain-stem
Major	major-
Hitchhiking	hitch-hiking
Micro-states	microstates
Firebomb	fire-bomb
Man-eater	Maneater
Side-saddle	sidesaddle
Playoffs	play-offs
Clear-cutting	Clearcutting
ERA	E-R-A
Fiveyear	Five-year
Ferroalloys	ferro-alloys
Groundwater	ground-water
Narrowbody	narrow-body
Nam-il	Namil
Takeover	takeover-
T-rio	Trio
Hardcore	hard-core
Buyback	Buy-back
Cosign	co-sign
Whitehaired	white-haired
Crawlspace	crawl-space
Bloodletting	blood-letting
Full-blown	fullblown
Interlink	inter-link
Power	power-
Snapon	Snap-on
Counter-offensive	counteroffensive
Nonobjective	non-objective
GTS	GT-S
Overall	over-all
Sofar	so-far
Offbeat	off-beat
Diamond-back	Diamondback
-land	land
To-y	toy
STV	s-TV
Payback	pay-back
Avant-garde	avantgarde
Heterosexism	hetero-sexism
Class-room	classroom
Winning	-winning
Femto-	femto
Selfconscious	self-conscious
Trans-American	TransAmerican
LG1	LG-1
Rebirth	re-birth
Megawatts	mega-watts
Hypnotherapist	hypno-therapist
Spirit	Spir-it
Mid-South	MidSouth
HarperCollins	Harper-Collins
Zigzag	zig-zag
Honeypot	honey-pot
Hide-bound	hidebound
A93	A-93
Lifegiving	life-giving
Pico-	Pico
Head-man	headman
Prearranging	pre-arranging
Student	student-
Mandela	Man-del-a
Half-hour	halfhour
Jean-Marie	JeanMarie
R11	R-11
R12	R-12
Bypassing	by-passing
He-Man	HeMan
Neoclassical	neo-classical
Deathtrap	death-trap
Moneymaker	money-maker
Re-transmit	retransmit
Nicelooking	nice-looking
Sendups	send-ups
Pathophysiology	patho-physiology
Inline	in-line
Off-guard	offguard
Counterinsurgency	counter-insurgency
YME	Y-ME
A16	A-16
Setpiece	Set-piece
A10	A-10
A14	A-14
A12	A-12
Redefine	re-define
A37	A-37
Backlog	back-log
Electronics	electr-onics
Biodiesel	bio-diesel
Counter-signed	countersigned
Firefighting	fire-fighting
Ponytail	pony-tail
From	-from
Rubberhose	rubber-hose
Association	Assoc-iation
Yun-nan	Yunnan
-phil-	Phil
Sea-bee	Seabee
Justincase	just-in-case
Contra-flow	Contraflow
Antinationalist	anti-nationalist
Explosion	ex-plosion
Q-Max	QMax
K-rock	Krock
Summertime	summer-time
Righthander	right-hander
Knockdown	knock-down
Macrolevel	macro-level
Head	head-
Go-on	goon
Lugnut	lug-nut
Boardinghouse	boarding-house
Prepress	pre-press
Kun-lun	Kunlun
Kiwifruit	kiwi-fruit
Mailand	mail-and
De-leveraging	deleveraging
Taeryong	Tae-ryong
Paperwork	paper-work
To-to	Toto
Lipsyncs	lip-syncs
Pac-car	Paccar
All-star	Allstar
Povertystricken	poverty-stricken
Multi-million	multimillion
Nonnational	non-national
Andor	and-or
Hitec	hi-tec
X-PLOR	XPLOR
Underemployment	under-employment
Kit-cat	Kitcat
Sixto	six-to
Timestamp	time-stamp
Medium	medium-
Rundown	run-down
Out-moded	outmoded
Reintegration	re-integration
Empire	emp-ire
Flightline	flight-line
Fish-oil	fishoil
Statesanctioned	state-sanctioned
Workload	work-load
Rearguard	rear-guard
Clearcutting	clear-cutting
Fullback	full-back
VHSC	VHS-C
Pockmarked	pock-marked
Knowhow	know-how
Cat-fish	catfish
Under-cover	Undercover
White	-white
Post-graduate	postgraduate
Ghost-writer	ghostwriter
Minisupercomputer	mini-supercomputer
Lowtax	low-tax
Homeowners	home-owners
Tapin	tap-in
Inter	inter-
High	high-
Multi-valve	multivalve
Lightweight	Light-weight
Backseat	back-seat
V22	V-22
Abd-el-latif	Abdellatif
Jazz	jazz-
Vio-lence	Violence
C-SPAN	CSPAN
Costar	co-star
Hedgefund	hedge-fund
Pullback	pull-back
Overfishing	Over-fishing
Socialism	social-ism
Selfconsciously	self-consciously
Fire	fire-
Whole-heartedly	wholeheartedly
Repaint	re-paint
Bimetal	bi-metal
Pot-bellied	potbellied
Bubblegum	bubble-gum
Speedup	speed-up
Massmarketing	mass-marketing
Would	-would
Soulless	soul-less
Nondemocratic	non-democratic
Space	-space
Nonfinancial	Non-financial
Tin-plate	tinplate
Twinjet	twin-jet
Pre-eclampsia	preeclampsia
Li-on	lion
MI17	MI-17
Cat-fish	Catfish
Starshaped	star-shaped
S500	s-500
Ecolabel	eco-label
Non-intervention	nonintervention
Non-commercial	noncommercial
Tariff	tariff-
Antinationalist	Anti-nationalist
Shaokang	Shao-kang
Badly	bad-ly
