IndigNation	indignation
DebRA	Debra
Che.r.ry	CHERRY
Cherry	CHERRY
BITS	bits
Biometric	Bio-Metric
MAMADOU	Mamadou
MARQUISE	Marquise
RACE	Race
Cellular	CELLULAR
Tomorrow	TOMORROW
MIRA	Mira
Broadvision	BroadVision
MINT	Mint
MiNT	Mint
Scat	SCAT
MIPS	Mips
Bethel	Beth-El
MIME	Mime
FAUST	Faust
MINH	Minh
MINC	Minc
MIND	Mind
MINA	Mina
M.I.L.K	Milk
SESAC	Sesac
HOUSE	house
UNIS	Unis
UNIT	Unit
ARE	-are
Åre	-are
RAID	Raid
C.A.C.T.U.S.	cactus
Speech	SPEECH
Marriott	MARRIOTT
R.A.F.I.	Rafi
AstroTurf	astroturf
Scid	SCID
R.A.G.E.	Rage
DeAnne	Deanne
MISA	Misa
Pro-Test	protest
Behavior	BEHAVIOR
Gemini	GEMINI
Hoop-La	hoopla
Sapa	SAPA
Half-Man	half-man
Sane	SANE
Sané	SANE
SAPS	SAPs
Saps	SAPs
Sa-Ra	SARA
Sara	SARA
Jenoptik	JENOPTIK
WorldLink	Worldlink
Alison	ALISON
Supernode	SuperNode
Vons	VONS
DIMES	dimes
Reynolds	REYNOLDS
Scandinavian	SCANDINAVIAN
Sami	SAMI
.coop	Co-op
Burbank	BURBANK
SERPS	Serps
Salt	SALT
Hub-And-Spoke	hub-and-spoke
Con-Dom	Condom
Sale	SALE
Salé	SALE
DEC1	Dec.1
Longuet	LONGUET
Avery	AVERY
N.U.M.B.	numb
Says	SAYS
SPYDER	Spyder
Synoptics	SynOptics
Saye	SAYE
Cannon	CANNON
Sart	SART
Elijah	ELIJAH
SATS	SATs
Schindler	SCHINDLER
Save	SAVE
Savé	SAVE
Säve	SAVE
ProTerm	pro-term
South	SOUTH
Portland	PORTLAND
BIAS	bias
Savers	SAVERS
LightWeight	light-weight
Mid-Autumn	midautumn
Flaine	FLAINE
Farm	FARM
Fasa	FASA
Craig	CRAIG
Barkers	BARKERS
Fate	FATE
Chug-A-Lug	chug-a-lug
Chug-a-Lug	chug-a-lug
Burnup	BURNUP
Fats	FATS
Crash	CRASH
Angel-A	Angela
Sound	SOUND
CONTEST	contest
MISTER	mister
LinkUp	Linkup
Euramerica	EurAmerica
VALIS	Valis
Moratorium	MORATORIUM
BIDS	bids
Jaguar	JAGUAR
N-Reactor	N-reactor
Beech-Nut	BEECH-NUT
Beechnut	BEECH-NUT
Mortgage	MORTGAGE
Con-Text	context
ConTEXT	context
ConTeXt	context
ADHOC	ad-hoc
FIGS	FIGs
File	FILE
Mid-life	Mid-Life
Midlife	Mid-Life
Find	FIND
Fina	FINA
Document	DOCUMENT
HeliOS	Helios
Film	FILM
Thorpe	THORPE
Non-fiction	Non-Fiction
P.U.N.K.S.	Punks
Fiat	FIAT
Fiac	FIAC
Market	MARKET
Märket	MARKET
Fico	FICO
.travel	TRAVEL
Travel	TRAVEL
Milton	MIlton
FIDS	FIDs
Refuge	REFUGE
ProActive	pro-active
Avignon	AVIGNON
SUPER	super
Theft	THEFT
Springer	SPRINGER
Montecarlo	Monte-Carlo
BAZAN	Bazan
ReSound	resound
Jack-O	Jacko
Ex-communist	Ex-Communist
Arena	ARENA
PReVENT	Prevent
Bodyguard	BODYGUARD
P-Star	P-star
PSTAR	P-star
DONUT	Donut
ShopRite	Shoprite
Armenian	ARMENIAN
JOSS	joss
Fire	FIRE
Graham	GRAHAM
Bi-Polar	bi-polar
Fira	FIRA
Firm	FIRM
Walking	WALKING
WantedList	wanted-list
TaxACT	tax-act
BlowOut	blow-out
Fish	FISH
VOICED	voiced
There	THERE
Doubt	DOUBT
Tapes	TAPES
Moviefone	MovieFone
These	THESE
Fitz	FITZ
Resentment	RESENTMENT
JOVE	jove
JoVE	jove
PERCS	percs
ACTED	acted
South-West	Southwest
Formation	FORMATION
Court-martial	Court-Martial
McAlpine	McALPINE
Yield	YIELD
FOREST	Forest
Korea	KOREA
Koreá	KOREA
EMBRACE	embrace
Chris	CHRIS
Quarter	QUARTER
Up-Tight	up-tight
SideKick	side-kick
KAIDA	Kaida
NYNEX	Nynex
W-inds.	winds
WINDS	winds
Senior	SENIOR
Run-Away	run-away
Flaring	FLARING
OSCAR	Oscar
In-house	in-House
Scallop	SCALLOP
Opa-Locka	Opa-locka
Dense	DENSE
Middle	MIDDLE
Claremont	CLAREMONT
Lilly	LILLY
IKEA	Ikea
WINKS	winks
Takeoff	Take-Off
DEFLATE	deflate
Derwent	DERWENT
AeroTech	Aerotech
Note	NOTE
Yo-yo	Yo-Yo
Nota	NOTA
Nóta	NOTA
Allianz	ALLIANZ
R.U.S.E.	ruse
Nord	NORD
Plumbing	PLUMBING
Palladium	PALLADIUM
WIND	wind
WING	wing
WinG	wing
WINK	wink
Jakarta	JAKARTA
ArVid	Arvid
UNISON	Unison
Mid-Autumn	mid-autumn
WINS	wins
Field	FIELD
Struggle	STRUGGLE
WIRD	wird
Pitchford	PITCHFORD
MiniScribe	Miniscribe
WIRY	wiry
EFTA	Efta
R.U.L.E.	rule
SuperPower	Superpower
Frankfürt	FRANKFURT
WITS	wits
WMTH	wmth
MOCA	MoCA
Moca	MoCA
Modo	MoDo
AvtoVAZ	Avtovaz
Rush	RUSH
Comcast	COMCAST
Rump	RUMP
Trimmed	TRIMMED
1,1,1-Trichloroethane	1,1,1-trichloroethane
DEEDS	deeds
Mateo	MATEO
SMiLE	smile
SmILE	smile
Ruhr	RUHR
Miller	MILLER
Rule	RULE
Demos	DEMOS
Snecma	SNECMA
Match	MATCH
TWIRL	twirl
Anticatholic	anti-Catholic
A.N.S.W.E.R.	Answer
Anonymous	ANONYMOUS
TwixT	twixt
NOvA	NOVA
Nova	NOVA
VESTA	Vesta
Ossetia	OSSETIA
Nowa	NOWA
Re-Construction	Reconstruction
Chandigarh	CHANDIGARH
BeTe	bete
BETA	beta
Number	NUMBER
Ruby	RUBY
Faisal	FAISAL
Rubs	RUBs
COMPASS	Compass
D.A.N.C.E.	Dance
Sher-Wood	Sherwood
AccountAbility	Accountability
Emily	EMILY
Off-Off-Broadway	off-off-Broadway
SUMIT	sumit
Sherwin-Williams	SHERWIN-WILLIAMS
Football	FOOTBALL
McKenna	MCKENNA
Hilton	HILTON
Fidel	FIDEL
Amnesty	AMNESTY
Fides	FIDES
Moma	MoMA
TWICE	twice
Mini-Series	mini-series
Antisocial	Anti-Social
Walbro	WALBRO
BEEP	beep
DIRKS	Dirks
I-DEAS	Ideas
IDEAS	Ideas
IDeaS	Ideas
Medi-Cal	Medical
IDEAL	Ideal
Matra	MATRA
Mátra	MATRA
Massachusetts	MASSACHUSETTS
Rathbone	RATHBONE
Re-Flex	Reflex
ReFLEX	Reflex
RORO	ro-ro
Rörö	ro-ro
VERSA	Versa
Mo-Do	Modo
Quarrel	QUARREL
IMAGE	image
D.I.S.C.O.	Disco
Daily	DAILY
Robert	ROBERT
Delta	DELTA
Danger	DANGER
PowerPlant	powerplant
Choice	CHOICE
BlowOut	blowout
Pension	PENSION
Long-Haired	longhaired
Coolers	COOLERS
Nonstop	NonStop
Sangfroid	SANG-FROID
RTGS	RTGs
Melville	MELVILLE
Front	FRONT
Over...	over-
Roosevelt	ROOSEVELT
Partner	PARTNER
Hussein	HUSSEIN
Matthew	MATTHEW
Telephone	TELEPHONE
Téléphone	TELEPHONE
President	PRESIDENT
Delhi	DELHI
Bashing	BASHING
Maclaren	MacLaren
MOVE	Move
GAMBIT	gambit
Call	-Call
MoRT	Mort
M.O.T.A.	Mota
MOST	Most
MOSS	Moss
Delay	DELAY
Actup	Act-Up
SULFA	sulfa
Effect	EFFECT
Chlor-trimeton	Chlor-Trimeton
KOSPI	Kospi
Up-Front	Upfront
Brooklyn	BROOKLYN
MONK	Monk
MoNA	Mona
East-West	east-west
Dairy	DAIRY
MoJo	Mojo
Forester	FORESTER
W.I.C.K.E.D.	Wicked
StarTropics	Startropics
NUMMI	Nummi
Pilkington	PILKINGTON
R-Type	R-type
INRA	Inra
ROiL	roil
BAAF	Baaf
Venture	VENTURE
Tsongas	TSONGAS
Babı	Babi
BaBe	Babe
Murder	MURDER
ROOT	root
Anger	ANGER
CoFFEE	COFFEE
Coffee	COFFEE
ROMP	romp
Muddle-Headed	muddle-headed
WGES	wges
BAHA	Baha
Mazda	MAZDA
Ecash	E-Cash
ROSE	rose
Vanwinkle	VanWinkle
CD-i	CD-I
Ilta-Sanomat	Iltasanomat
BAKA	Baka
CDI	CD-i
CCDS	CCDs
Demand	DEMAND
B.A.C.K.	Back
Annual	ANNUAL
P.E.A.C.H	Peach
Bye-Bye	Bye-bye
Takes	TAKES
Victory	VICTORY
Artificial	ARTIFICIAL
MovieMaker	moviemaker
Guttman	GUTTMAN
Shapiro	SHAPIRO
Federal	FEDERAL
BASF	Basf
BARS	Bars
INES	Ines
Burton	BURTON
BAMA	Bama
32P	3.2p
BALL	Ball
Fnac	FNAC
CBOT	CBoT
BANK	Bank
INIS	Inis
INiS	Inis
ANThology	anthology
Roane	RoAne
S.H.I.E.L.D.	shield
QUaD	Quad
SHRED	shred
EPROM	Eprom
Multi-Cultural	multi-cultural
Chrysler	CHRYSLER
QUBE	Qube
South-West	South-west
South-East	southeast
LOBSTER	lobster
D.I.S.C.O.	disco
13D	13d
Urban	URBAN
14P	14p
B.A.T.M.A.N.	Batman
Quebecor	QUEBECOR
FlyEr	flyer
Rayleigh	RAYLEIGH
15P	15p
Dowty	DOWTY
HOTAIR	hot-air
Leblond	LeBlond
16P	16p
16S	16s
Medi-Cal	MEDICAL
Jones	JONES
Anti-Socialist	anti-socialist
Dowry	DOWRY
10P	10p
Spain	SPAIN
11P	11p
GOS	G.O.s
ShowMan	showman
Zzzz	ZZZZ
13f	13F
12P	12p
Weyerhaeuser	WEYERHAEUSER
VARTA	Varta
INTEGRAL	integral
Avlis	AVLIS
Thomas	THOMAS
Dropped	DROPPED
Eben-Ezer	Ebenezer
Female	FEMALE
Co-Balt	COBALT
Cobalt	COBALT
Flow	FLOW
17M	17m
Bloomingdale	BLOOMINGDALE
17P	17p
.S.P.A.C.E.	SPACE
Space	SPACE
18P	18p
A.D.I.D.A.S.	Adidas
RE/MAX	Re/Max
PREview	Preview
IPAC	Ipac
OATH	oath
Fire-Eater	fire-eater
WEFT	weft
Fernando	FERNANDO
Submit	SUBMIT
Government-in-Exile	government-in-exile
CDtv	CDTV
ParaDOX	Paradox
Industry	INDUSTRY
Daniel	DANIEL
BATON	Baton
WELD	weld
WELL	well
Jell-O	Jello
Leasing	LEASING
W.E.L.T.	welt
Con-Dom	condom
Albaz	al-Baz
Quebec	QUEBEC
BOSCH	Bosch
Conviction	CONVICTION
Two-Faced	two-faced
WENT	went
WEND	wend
WEnd	wend
Pioneer	PIONEER
BATUS	Batus
Everywhere	EVERYWHERE
Dropout	DROPOUT
CRYSTAL	crystal
Pressure	PRESSURE
ECLIPSE	Eclipse
ECLiPSe	Eclipse
WERE	were
Japan	JAPAN
Spate	SPATE
Production	PRODUCTION
Uralmash	UralMash
WEST	west
EKCO	Ekco
Cementation	CEMENTATION
Kumkapı	Kumkapi
B-Ark	bark
BARK	bark
WIDE	wide
Colorado	COLORADO
WICK	wick
WICH	wich
ILSE	Ilse
Capital	CAPITAL
BARS	bars
H.E.L.P.E.R.	Helper
H.E.L.P.eR	Helper
H.E.L.P.eR.	Helper
Farmland	FARMLAND
WIAL	wial
BANK	bank
Tammy	TAMMY
Half-Way	half-way
SuperFerry	super-ferry
HotDog	hot-dog
Attention	ATTENTION
ILYA	Ilya
WILE	wile
WILT	wilt
MonoRail	monorail
WILL	will
Colombo	COLOMBO
Labelle	LaBelle
Recently	RECENTLY
Drag-On	dragon
Café	CAFE
Caer	CAER
Caër	CAER
Cáer	CAER
Examiner	EXAMINER
Cage	CAGE
ILVA	Ilva
WIHT	wiht
Listed	LISTED
Rainforest	RainForest
Coopers	COOPERS
Batsu	BA-TSU
EINE	Eine
Someone	SOMEONE
WIFE	wife
MODEL	Model
TimeShift	time-shift
Kelley	KELLEY
WHRE	whre
Morland	MORLAND
Father-Son	father-son
PATRICIA	Patricia
BaBe	babe
Cami	CAMI
B.A.C.K.	back
BA-3	Ba-3
Calm	CALM
Call	CALL
NY-LON	Nylon
Camp	CAMP
Câmp	CAMP
Ubu	U-B-U
Cana	CANA
WHOM	whom
RESOLVE	Resolve
SALOME	Salome
BASIX	Basix
BASIC	Basic
CAP-e	CAPE
Cape	CAPE
AppleJack	Applejack
Cast	CAST
Cash	CASH
Case	CASE
Carl	CARL
Care	CARE
Unified	UNIFIED
ThinkTanks	think-tanks
SuperSport	SupersPort
Supersport	SupersPort
ADULT.	Adult
WHYS	whys
BALL	ball
Barel	Bar-El
Osborne	OSBORNE
Faber	FABER
DINKY	Dinky
Flat	FLAT
Carroll	CARROLL
Albright	ALBRIGHT
NU-Tech	Nutech
Tally	TALLY
Redland	REDLAND
Anti-Communists	anti-communists
UpStage	upstage
Usinor	USINOR
DAHER	Daher
WHIC	whic
WHIM	whim
WHIT	whit
Deutsche	DEUTSCHE
WHIP	whip
WHIR	whir
T.O.A.S.T.	toast
Newspaper	NEWSPAPER
Menus	MENUS
Volatility	VOLATILITY
WHIZ	whiz
Re-Arranged	re-arranged
Damon	DAMON
Maybe	MAYBE
Giving	GIVING
James	JAMES
WHEY	whey
Bowles	BOWLES
PREB	pre-B
IMES	Imes
Joel	JOEL
IMCO	Imco
RoadShow	Roadshow
Jock	JOCK
I-Man	Iman
BARGE	Barge
Manila	MANILA
.shop	shop-
.jobs	JOBS
UNIMED	Unimed
Just-Ice	JUSTICE
Justice	JUSTICE
Editor-In-Chief	editor-in-chief
Finnair	FINNAIR
FunHouse	funhouse
Candelabra	CANDELABRA
Dance	DANCE
Dancé	DANCE
Dover	DOVER
Autodesk	AUTODESK
Faces	FACES
Fæces	FACES
Waters	WATERS
Granada	GRANADA
Join	JOIN
John	JOHN
ZOOM	zoom
ZOOm	zoom
Final	FINAL
SPEW	spew
CAFÉ	cafe
Central	CENTRAL
50S	50s
Enel	ENEL
Ryder	RYDER
SLiM	SLIM
Slim	SLIM
A.D.A.M.	Adam
SPAR	spar
ADAS	Adas
ADAR	Adar
SP-A	S.P.A
Sp.a	S.P.A
Spa	S.P.A
Post-exilic	post-Exilic
Postexilic	post-Exilic
Finch	FINCH
Heartbeat	HeartBeat
CCAir	CCAIR
Best	BESt
B.U.D.D.Y.	Buddy
Busch	BUSCH
AMBER	Amber
BI-LO	Bi-Lo
Regal	REGAL
ACTS	Acts
Ends	ENDS
Regan	REGAN
Asset-backed	Asset-Backed
MusE	Muse
MUSH	Mush
WRAP	wrap
MUST	Must
Manganese	MANGANESE
Carter	CARTER
AmBAR	Ambar
MUTE	Mute
Slap	SLAP
CHESS	chess
AMBAC	Ambac
Tao	T-AO
FLUID	fluid
Bell	BELL
Motion	MOTION
SORT	sort
COLUMBUS	Columbus
Benn	BENN
24Hours	24-hours
Yılmaz	Yilmaz
Friends	FRIENDS
Mannesmann	MANNESMANN
Mar-Kell	Markell
SEVEN	SEven
Liberal	LIBERAL
Jeep	JEEP
Refer	REFER
CARO	caro
CARS	cars
President-elect	President-Elect
CAST	cast
ACOG	Acog
CASK	cask
Best	BEST
Suzuki	SUZUKI
ACRI	Acri
Zimbabwe	ZIMBABWE
Refco	REFCO
M.U.L.E.	Mule
MULE	Mule
PaperWorks	paperworks
Beer	BEER
Jean	JEAN
CAMP	camp
Beef	BEEF
So-Lo	solo
CAMS	cams
ATOLL	atoll
Been	BEEN
Furniture	FURNITURE
Carefree	CareFree
SOLV	solv
OpenAIR	Open-air
ACeS	Aces
CAP-e	cape
C.a.R.	car-
CaR	car-
ACEC	Acec
CAPA	capa
Amgen	AMGEN
Basseterre	Basse-Terre
4wd	4WD
Westwood	WESTWOOD
Ultra-Violet	ultraviolet
WRSE	wrse
C-A-K-E	cake
Slow	SLOW
Tom	T-Om
Tri-State	tri-state
S-Oil	soil
Burma	BURMA
CALM	calm
EuroDisney	Eurodisney
Introducing	INTRODUCING
MovieMaker	Moviemaker
ACID	Acid
MUDH	Mudh
CALS	cals
PEGASUS	Pegasus
Chittenden	CHITTENDEN
S.O.A.P.	soap
SOAP	soap
TeleVideo	Televideo
Miranda	MIRANDA
MiM	M.I.M
40S	40s
2PM	2pm
ACAN	Acan
ACAS	Acas
Curtis	CURTIS
Italianamerican	Italian-American
CAPCOM	Capcom
InterContinental	intercontinental
Beam	BEAM
Bear	BEAR
ABSA	Absa
Launch	LAUNCH
Commander-in-chief	Commander-in-Chief
ABTA	Abta
Vats	VATs
ABRA	Abra
Patten	PATTEN
Bathing	BATHING
FIRST	first-
Peter	PETER
VARS	VARs
Vars	VARs
Abscam	ABSCAM
SNOW	snow
Leroux	LeRoux
ABIC	Abic
Enza	ENZA
PROWLER	Prowler
ESPRIT	esprit
Intercontinental	Inter-Continental
Vale	VALE
Våle	VALE
Snowmass	SNOWMASS
IBCA	Ibca
MODEL	model
LIFFE	Liffe
Manila	MAnila
Chúi	Chu-i
ABBA	Abba
Asinara	A-Sinara
MTEL	Mtel
ACCURATE	accurate
ABAD	Abad
Consortium	CONSORTIUM
Automatic	AUTOMATIC
Smug	SMUG
Peoria	PEORIA
Campaign	CAMPAIGN
Twelve	TWELVE
CDV	cd-v
Andrew	ANDREW
32P	32p
Andrea	ANDREA
Reform	REFORM
Mis-Takes	mistakes
E-Land	Eland
30S	30s
Snow	SNOW
Consumption	CONSUMPTION
O-Zone	ozone
OZONE	ozone
PILOT	pilot
Movement	MOVEMENT
AArt	Aart
Skyscraper	SKYSCRAPER
Little	LITTLE
AATA	Aata
Post-War	Postwar
One-time	One-Time
Onetime	One-Time
Karstadt	KARSTADT
Karstädt	KARSTADT
DISCUS	discus
Hand-Over	hand-over
Doerun	DOE-run
Politics	POLITICS
Dupont	DuPont
Anti-Corruption	anti-corruption
Vandenberg	VandenBerg
N.I.B.S.	nibs
NIBS	nibs
2AM	2am
DINA	Dina
Go-Ahead	go-ahead
STReP	strep
STRAP	strap
D.I.R.T.	Dirt
DIRT	Dirt
Replaced	REPLACED
Extend	EXTEND
Soap	SOAP
E-Type	E-type
Shrink-Wrapped	shrink-wrapped
Bcl-2	BCL2
Damages	DAMAGES
Fall-out	FALLOUT
DISS	Diss
Soda	SODA
Domestic	DOMESTIC
ANTARA	Antara
Self-defense	Self-Defense
ESTAR	estar
SEEDS	Seeds
ITnet	ITNet
RADIUS	radius
Sub-Mariner	submariner
Expansion	EXPANSION
Expansión	EXPANSION
NeoClassical	Neo-classical
Order	ORDER
Tuchman	TUCHMAN
36S	36s
Setting	SETTING
PONCHO	poncho
WordSmith	Wordsmith
EXist	exist
Butte	BUTTE
Soaps	SOAPS
S-OB	S.O.B
Song	SONG
StRUT	strut
Value	VALUE
Jama	JAMA
People	PEOPLE
Sony	SONY
Lionel	LIONEL
Jane	JANE
Valve	VALVE
Jana	JANA
Soon	SOON
Bogus	BOGUS
Orange	ORANGE
Currie	CURRIE
Soul	SOUL
Chi-Chi	chichi
Light	LIGHT
ASTOR	Astor
THE	-The
Orbis	ORBIS
Superfan	SuperFan
DAPHNE	daphne
Sofa	SOFA
BOOMERanG	boomerang
Kwikfit	Kwik-Fit
ShowTime	Showtime
Soft	SOFT
JEAN	jean
So-Lo	SOLO
Solo	SOLO
Business	BUSINESS
Some	SOME
Somé	SOME
Jail	JAIL
Tad	-Tad
Egypt	EGYPT
Bombardier	BOMBARDIER
Acquisition	ACQUISITION
SpoT	spot
PowerBook	Powerbook
Span	SPAN
Elsa	ELSA
Canada	CANADA
Johnston	JOHNSTON
Peres	PERES
Circuit	CIRCUIT
See-Saw	see-saw
PERCS	PERCs
Bergland	BErgland
ELWa	ELWA
Public-relations	Public-Relations
NightLife	nightlife
Bridge-Head	bridgehead
Winter	WINTER
Gambling	GAMBLING
SPIC	spic
Montgomery	MONTGOMERY
Abdülhamid	Abdul-Hamid
BBBS	BBBs
Perot	PEROT
TWAIN	twain
2-1B	21b
Obón	O-Bon
Archive	ARChive
QuickStrike	quick-strike
Airborne	AIRBORNE
Jazz	JAZZ
Jay-J	JAYJ
Free-Thinkers	free-thinkers
Imminent	IMMINENT
AIDES	Aides
TRICK	trick
Eris	ERIS
Scotland	SCOTLAND
OnStage	on-stage
EastEnders	Eastenders
Dobson	DOBSON
GirlTalk	girl-talk
Continued	CONTINUED
Architecture	ARCHITECTURE
M.A.T.E.R.	Mater
Hardy	HArdy
Wilmington	WILMINGTON
Virginia	VIRGINIA
Spin	SPIN
Abdülaziz	Abdul-Aziz
RushHour	Rush-hour
CrossCountry	Cross-country
Comment	COMMENT
Warming	WARMING
Milstead	MILSTEAD
Sher-Wood	SHERWOOD
Sherwood	SHERWOOD
FACET	Facet
FACES	Faces
Geoffrey	GEOFFREY
Pepsi	PEPSI
SpoT	SPOT
Spot	SPOT
Sweeps	SWEEPS
Wal-Mart	Wal-mart
HiTech	hi-tech
May	-May
Author	AUTHOR
Bima	BIMA
Bill	BILL
BLACKER	Blacker
ESPRIT	Esprit
Bils	BILS
CHiPs	chips
Sing-Along	singalong
AMECON	Amecon
AmeCon	Amecon
Bios	BIOS
DORA	Dora
Homebrew	HOMEBREW
Bird	BIRD
AGON	Agon
PUTCO	Putco
DOSS	Doss
Birt	BIRT
Birk	BIRK
Agrı	Agri
CHILL	chill
BitC	BITC
First	FIRST
UNfiltered	unfiltered
MATIF	Matif
Fairfax	FAIRFAX
Ownership	OWNERSHIP
Ercé	ERCE
Super-Patriot	super-patriot
SuperPatriot	super-patriot
BAE146	BAe-146
U.N.C.L.E.	Uncle
SKIP	skip
Jello	Jell-O
TGFB	TGF-b
RedEye	red-eye
R.E.B.E.L.S.	Rebels
JAMS	jams
Fun-Da-Mental	fundamental
Half-Breed	halfbreed
HomeBase	home-base
ROOD	Rood
Intermountain	Inter-Mountain
C.R.A.Z.Y.	Crazy
Affirmative	AFFIRMATIVE
Ortega	ORTEGA
Lefebvre	LeFebvre
ROMA	Roma
ROLM	Rolm
WOAD	woad
Straße	Strasse
LOBSTER	Lobster
HomeBase	Homebase
PAGES	Pages
Extra-Terrestrials	extraterrestrials
NEAT	neat
Bias	BIAS
ROHS	Rohs
Industrial	INDUSTRIAL
ROWE	Rowe
MIRIAM	Miriam
WOES	woes
WOEN	woen
MovieTime	Movietime
PUREX	Purex
Chángchun	Chang-chun
Meggitt	MEGGITT
EURELECTRIC	Eurelectric
New-Found-Land	Newfoundland
N.E.O.N.	neon
Police	POLICE
GLAST	Glast
Policy	POLICY
BICS	BICs
Eprint	E-Print
InterCity	inter-city
ROSE	Rose
Temper	TEMPER
Salomon	SALOMON
TomTom	Tom-tom
ReVision	Revision
ROOT	Root
High-yield	High-Yield
WOOD	wood
WOOF	woof
OuterSpace	outer-space
Faßbinder	Fassbinder
YOJI	Yoji
Ready	READY
F-Minus	F-minus
WONT	wont
.local	LoCal
Local	LoCal
Booker	BOOKER
N.EX.T	next
NeXT	next
Right-On	right-on
D.I.G.I.T.A.L.	digital
DIGITAL	digital
FLAGS	flags
N.E.W.S	news
N.E.W.S.	news
NEWS	news
NeWS	news
MUST	-must
DIXIE	Dixie
Start-Up	Start-up
N.E.R.D	nerd
WOKE	woke
Ensign	ENSIGN
Sewage	SEWAGE
Reach	REACH
NETS	nets
Cigna	CIGNA
NEST	nest
FLASH	flash
FLASK	flask
Videoplace	VideoPlace
AFRO	Afro
Photograph	PHOTOGRAPH
FiveStar	five-star
Mummery	MUMMERY
Maastricht	MAASTRICHT
Polish	POLISH
Expense	EXPENSE
DevIL	Devil
Roll-Your-Own	roll-your-own
Jonathan	JONATHAN
WORT	wort
Konrad	KONRAD
WORE	wore
FLAME	flame
Tit-Bits	titbits
Brinson	BRINSON
WOTJ	wotj
Optimism	OPTIMISM
Bhag	BHAG
Rising	RISING
Srna	SRNA
Off-Centre	off-centre
CDNOW	CDNow
AraC	ARA-C
Arac	ARA-C
Araç	ARA-C
Chocolate	CHOCOLATE
Intercontinental	InterContinental
F-Lock	flock
Lefébure	LeFebure
Elkem	ELKEM
WiDEN	widen
Wrong	WRONG
Success	SUCCESS
LINER	Liner
Karlheinz	Karl-Heinz
Epic	EPIC
CODESA	Codesa
SuperCalc	Supercalc
SoFFin	Soffin
Masius	MASIUS
Over-Exposed	over-exposed
McKeon	Mckeon
MEGAN	Megan
Penna	PENNA
Computer-aided	Computer-Aided
Dwyfor	DWYFOR
Gurre-Lieder	Gurrelieder
MARRS	Marrs
COMSAT	Comsat
FOCUS	Focus
DAYTIME	day-time
NewQuay	Newquay
PrimeTime	prime-time
Colombia	COLOMBIA
Colômbia	COLOMBIA
Kenmare	KENMARE
Counter-Protest	counter-protest
Oil	-Oil
Swift	SWIFT
IrisVision	Irisvision
AERO	Aero
DESCO	Desco
MARCO	Marco
Gloom	GLOOM
SMOG	smog
AERA	Aera
IEng	Ieng
PIPES	pipes
PuTTY	Putty
ChucK	Chuck
Idaho	IDAHO
Algiers	ALGIERS
60S	60s
Unlimited	UNLIMITED
AltaVista	Altavista
Message	MESSAGE
MESSENGER	Messenger
ADAPT	adapt
I-CON	Icon
Glove	GLOVE
Bertolucci	BERTOLUCCI
Hai-Ku	haiku
DoJa	Doja
AFDB	AfDB
Cease-Fire	cease-fire
AVATAR	Avatar
Hospice	HOSPICE
DONG	Dong
JADE	jade
Biodiesel	Bio-Diesel
Star	STAR
Stay	STAY
FLOPS	flops
Arkansas	ARKANSAS
Opposition	OPPOSITION
Attack	ATTACK
Half-Way	Halfway
Epps	EPPs
WIDOW	widow
SOLILOQUY	Soliloquy
SLAM	slam
SLED	sled
Stet	STET
Step	STEP
Strident	STRIDENT
STES	STEs
Floß	floss
Phare	PHARE
Mother	MOTHER
AdeS	Ades
SLIM	slim
SLiM	slim
Bingham	BINGHAM
PVT	-Pvt
OnAir	on-air
MeGUI	Megui
IDEC	Idec
BoomBox	boom-box
IDEX	Idex
Recap	RECAP
IMPACT	impact
Self-Inflicted	selfinflicted
Opening	OPENING
HarperCollins	HARPERCOLLINS
ADMA	Adma
Clyde	CLYDE
CREATES	Creates
SLOB	slob
Monarch	MONARCH
ADMS	Adms
Mrs.	M.R.S
Potential	POTENTIAL
3-Methylfentanyl	3-methylfentanyl
Hiram	HIRAM
Pursuit	PURSUIT
Evil	EVIL
Dubów	DuBow
Stewart	STEWART
SOLILOQUY	soliloquy
Meyer	MEYER
ALAD	Alad
ALAS	Alas
P.E.A.C.H	peach
Jumping	JUMPING
Ever	EVER
Even	EVEN
H.O.R.D.E.	horde
600s	600S
Evac	EVAC
Evan	EVAN
DEPOT	Depot
Mart	Mar-T
Znak	ZNAK
Mount	MOUNT
Parmalat	PARMALAT
Cohen	Co-Hen
Wheel	WHEEL
Everything	EVERYTHING
ALON	Alon
AlON	Alon
Channel	CHANNEL
Al-Li	Alli
Mcenroe	McEnroe
U.G.L.Y.	Ugly
Spirited	SPIRITED
Motor	MOTOR
ALMA	Alma
CLASS	-class
TRUST	trust
SpeakEasy	speak-easy
Lloyd	LLoyd
Alt-A	Alta
ALPS	Alps
Bumble-Bee	bumblebee
RATS	Rats
Computer	COMPUTER
RAVE	Rave
Joanne	Jo-Anne
Biology	-Biology
Fitzhugh	Fitz-Hugh
ALFA	Alfa
Elisa	ELISA
Élisa	ELISA
Scud	SCUD
Know-how	Know-How
Knowhow	Know-How
ALGO	Algo
Scum	SCUM
View	VIEW
SPICE	spice
Nonnational	non-National
Farmer	FARMER
Thursday	THURSDAY
A-Lex	Alex
Oaks	OAKS
RANK	Rank
GUIdebook	guidebook
RAND	Rand
Wheal	WHEAL
Wheat	WHEAT
NOiSE	noise
Scór	SCOR
RAMP	Ramp
Scop	SCOP
AVANCE	Avance
Fixed	FIXED
Sent	SENT
